ticker,strategy,mean_expected_shortfall_bps,median_expected_shortfall_bps,RISK: std_expected_shortfall_bps,mean_realized_shortfall_bps,median_realized_shortfall_bps,RISK: std_realized_shortfall_bps,mean_execution_risk_pct,median_execution_risk_pct,mean_slippage_vs_vwap_bps,median_slippage_vs_vwap_bps,RISK: std_slippage_vs_vwap_bps
INDUSINDBK,AC,610.5341612933597,503.7526083408549,279.8122435430691,-42.411942459303646,-27.27829471621137,248.0597599067938,0.8363330874839126,0.5864442508674432,40.25166294442041,31.59065997186953,604.2792152472999
INDUSINDBK,TWAP,2393.812121227343,1964.3197818846013,1718.828057713697,-29.582152618556613,-61.324438912917536,714.016853061637,4.360454318628067,2.9888127470468864,13.248332965921222,4.191740612989932,87.37041372847375
INDUSINDBK,VWAP,2204.7594496097913,1715.332057628841,1597.6847497730384,-44.32129202057087,-52.36283934107698,684.1181155687583,3.950882664807582,2.7489224066600806,0.0,0.0,0.0
HDFC,AC,620.325530900002,583.7038224044795,224.53183310444243,-12.601709694116295,-0.571799408871287,124.43926830965086,0.5041547614848089,0.4016865441135656,-21.259324923365984,1.2746133628210201,234.4871749969208
HDFC,TWAP,1345.1559445026774,1142.6694852806413,740.6187017244278,17.702395633148964,4.575790648869917,327.1959158871663,1.9854251021201152,1.4900003677957705,1.9323025957336375,-0.9311418801953559,44.10580546478995
HDFC,VWAP,1404.1132574248475,1140.6697815757418,769.1365539141609,15.505648547563059,-3.627680112087142,315.37473224762977,1.904065235757164,1.5020242255559468,0.0,0.0,0.0
HEROMOTOCO,AC,2984.257990092465,2413.6234013389203,1609.4245284312728,-1.9977963849521592,-21.902185104926925,131.36385697294682,0.5940378920218705,0.5442265153555959,-34.69835964742976,-0.6601595760191197,226.6976187747447
HEROMOTOCO,TWAP,2441.1810118804747,2145.519001575519,1304.9392070541203,39.35320162010127,-18.038135445726645,316.26939143348903,2.0864015465104373,1.9260293015496135,-0.02991300904341158,1.8987702667456543,38.879301187575976
HEROMOTOCO,VWAP,2784.7256827413808,2158.0985321349062,1790.1858013086053,39.5231508734253,-13.604211544839162,318.5102224472532,1.9899892148215288,1.7622991457104615,0.0,0.0,0.0
BAJFINANCE,AC,1245.4557687645347,1192.1117245037312,419.9474168157356,-46.5163581485787,-26.4365309384783,208.71099905698904,0.7145539967776345,0.6224229521158928,22.44469537440435,18.043410294621502,278.2436680226016
BAJFINANCE,TWAP,1921.3712468639912,1685.8079672019596,994.9586496904902,-49.0003064208371,-49.23656483116701,448.5066722765463,2.7094003454986906,2.37116783915089,8.527627990284483,1.7386549231630117,55.19973400255644
BAJFINANCE,VWAP,1891.2327868382365,1599.559890780243,924.6559392383208,-58.07215768446646,-53.36445728879521,430.7996623462346,2.4680687357470634,2.17425618115474,0.0,0.0,0.0
ADANIPORTS,AC,786.5168003171739,731.8615786770938,215.81384780513824,-16.97450901418631,-21.958249760882303,107.32551021452191,0.5250455068628392,0.5233573453943762,-33.62976800653018,11.281530935115565,250.01864709427775
ADANIPORTS,TWAP,1434.3734713528497,1257.6398821895018,721.5957541278651,18.708111839794103,-32.93597081563564,348.6687332947595,2.0369184706232577,1.9785992951246392,-6.435590442323771,-4.303653915247035,40.12716815720162
ADANIPORTS,VWAP,1519.4433939306998,1317.710759022329,753.0650521068028,25.45994688759109,-33.13250279929984,357.3883155488,1.98757131045096,1.8677871014240757,0.0,0.0,0.0
ULTRACEMCO,AC,4644.390277888957,4278.76947114458,1804.7058481524557,1.3959674183842197,-13.974360401445214,131.6236174278141,0.5600939878929867,0.42815186174301534,-35.52784808056332,17.845534679629466,214.4980905414047
ULTRACEMCO,TWAP,3061.454873558725,2833.1079803438242,1317.905293319503,50.62321097679839,14.599658033353474,310.6774020262889,1.9641324498553816,1.4637980187545852,7.397741415755029,9.71341635642385,21.528031531730335
ULTRACEMCO,VWAP,3594.4310965710706,3252.982861157503,2085.120001919511,43.1467749761247,6.060940986280471,307.8886880737112,1.9551514856721985,1.449579612433249,0.0,0.0,0.0
SAIL,AC,339.78561595783555,322.4708610772447,102.24065029434469,-2.727972935510211,-8.531185593260542,86.27575024812418,0.44435029512012897,0.4084640610891385,-13.235090268435282,46.611447719992825,356.60374277951684
SAIL,TWAP,1591.2178330258917,1390.6016754559735,684.0662419198958,24.67212334356718,-62.00790246452257,494.9169334401502,2.503579402259936,2.083899180247955,-3.4371804274054902,-7.650866463845008,43.20407023873505
SAIL,VWAP,1448.1288069532075,1344.0809812456987,544.2487354295189,27.276756159859392,-47.61387970314604,474.42206125221907,2.2357513746929443,1.888894379367177,0.0,0.0,0.0
AXISBANK,AC,376.51943489540514,322.9580586423033,148.50824852650092,-18.374071408789142,-12.03477585563981,121.23815350565941,0.512177458179331,0.3702618677246712,2.8748819704807915,13.16701785397279,369.6109797904406
AXISBANK,TWAP,1598.5287930296845,1358.7341347200295,1024.24163097272,0.40662063765579526,1.701792065718349,455.84547581174144,2.8557023293664625,1.9771400073589218,5.417050070931961,-0.41103244867828215,40.49221376319266
AXISBANK,VWAP,1574.2722420423224,1260.2263287842725,973.6740183216933,-5.107643303373028,-0.8104698814667904,449.9962112106033,2.728196567336171,1.8559039737897387,0.0,0.0,0.0
PEL,AC,2296.6652851411995,1998.053117484818,1070.7560920584676,13.390176856928269,-23.070227997286132,174.82466770772163,0.861143781964349,0.6766934217309957,7.815641260063371,34.65279530511924,296.96443821873925
