strategy,mean_of_mean_expected_shortfall_bps,median_of_mean_expected_shortfall_bps,std_of_mean_expected_shortfall_bps,mean_of_median_expected_shortfall_bps,median_of_median_expected_shortfall_bps,std_of_median_expected_shortfall_bps,mean_of_mean_realized_shortfall_bps,median_of_mean_realized_shortfall_bps,std_of_mean_realized_shortfall_bps,mean_of_median_realized_shortfall_bps,median_of_median_realized_shortfall_bps,std_of_median_realized_shortfall_bps,mean_of_mean_execution_risk_pct,median_of_mean_execution_risk_pct,mean_of_median_execution_risk_pct,median_of_median_execution_risk_pct,mean_of_mean_slippage_vs_vwap_bps,median_of_mean_slippage_vs_vwap_bps,std_of_mean_slippage_vs_vwap_bps,mean_of_median_slippage_vs_vwap_bps,median_of_median_slippage_vs_vwap_bps,std_of_median_slippage_vs_vwap_bps
AC,9242.659011272613,1034.461716130531,46043.30031762051,8301.154939725802,959.6419942166939,42301.790831054815,-2.6535440574795337,-2.0101254707814658,18.841258131653074,-7.412813241610775,-7.427807237490748,13.415503104561768,0.5630110200957185,0.559158476870736,0.48479918689231744,0.49570281139597194,-12.749666524445356,-20.850249886044587,38.41702182526804,0.6686227524283754,0.022469441056419598,26.547236561052184
TWAP,5209.043321335808,1702.8155526204005,20038.807329465148,4739.877214300536,1547.505777289381,18955.433460914606,23.887890456122246,27.908187749753314,40.34772907125472,-8.743905608700901,-5.448449109487779,34.33148048813589,2.2787929180427997,2.166311872398408,1.9200124856742928,1.8308790046114365,4.495457502212993,2.970974720127776,17.44072367250179,0.3719902707304377,0.33011270799206915,4.758994616601857
VWAP,8874.478068643832,1749.2212236128216,44719.38581233989,7024.430380670783,1576.1212435681198,36777.86464441428,19.42062791256112,26.570380057104387,44.29539411575307,-8.77292674011045,-9.51624796149282,32.60978705381415,2.224843378559566,2.057469210771581,1.829493970724832,1.766051734418876,0.0,0.0,0.0,0.0,0.0,0.0
